,0
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,0.8571428571428571
7,0.875
8,0.8888888888888888
9,0.9
10,0.9090909090909091
11,0.9166666666666666
12,0.9230769230769231
13,0.9285714285714286
14,0.9333333333333333
15,0.9375
16,0.9411764705882353
17,0.8888888888888888
18,0.8421052631578947
19,0.85
20,0.8571428571428571
21,0.8636363636363636
22,0.8695652173913043
23,0.875
24,0.88
25,0.8846153846153846
26,0.8888888888888888
27,0.8928571428571429
28,0.896551724137931
29,0.9
30,0.9032258064516129
31,0.90625
32,0.9090909090909091
33,0.9117647058823529
34,0.9142857142857143
35,0.9166666666666666
36,0.918918918918919
37,0.9210526315789473
38,0.9230769230769231
39,0.925
40,0.926829268292683
41,0.9285714285714286
42,0.9302325581395349
43,0.9318181818181818
44,0.9333333333333333
45,0.9347826086956522
46,0.9361702127659575
47,0.9375
48,0.9387755102040817
49,0.94
50,0.9411764705882353
51,0.9423076923076923
52,0.9433962264150944
53,0.9444444444444444
54,0.9454545454545454
55,0.9464285714285714
56,0.9473684210526315
57,0.9310344827586207
58,0.9322033898305084
59,0.9166666666666666
60,0.9016393442622951
61,0.9032258064516129
62,0.9047619047619048
63,0.890625
64,0.8923076923076924
65,0.8939393939393939
66,0.8955223880597015
67,0.8823529411764706
68,0.8840579710144928
69,0.8857142857142857
70,0.8732394366197183
71,0.875
72,0.8767123287671232
73,0.8783783783783784
74,0.8666666666666667
75,0.868421052631579
76,0.8701298701298701
77,0.8717948717948718
78,0.8734177215189873
79,0.875
80,0.8765432098765432
81,0.8780487804878049
82,0.8795180722891566
83,0.8809523809523809
84,0.8823529411764706
85,0.8837209302325582
86,0.8850574712643678
87,0.8863636363636364
88,0.8876404494382022
89,0.8888888888888888
90,0.8901098901098901
91,0.8913043478260869
92,0.8924731182795699
93,0.8936170212765957
94,0.8947368421052632
95,0.8854166666666666
96,0.8865979381443299
97,0.8877551020408163
98,0.8888888888888888
99,0.89
100,0.8910891089108911
101,0.8921568627450981
102,0.8932038834951457
103,0.8942307692307693
104,0.8952380952380953
105,0.8962264150943396
106,0.897196261682243
107,0.8981481481481481
108,0.8990825688073395
109,0.9
110,0.8918918918918919
111,0.8928571428571429
112,0.8938053097345132
113,0.8947368421052632
114,0.8869565217391304
115,0.8879310344827587
116,0.8803418803418803
117,0.8813559322033898
118,0.8823529411764706
119,0.8833333333333333
120,0.8842975206611571
121,0.8852459016393442
122,0.8780487804878049
123,0.8790322580645161
